iter	Passed	Remaining
0	59	59407
1	59	29875
2	60	20007
3	60	15075
4	60	12123
5	61	10149
6	61	8741
7	62	7693
8	62	6872
9	62	6212
10	63	5672
11	63	5224
12	63	4844
13	64	4518
14	64	4238
15	64	3988
16	65	3767
17	65	3572
18	65	3399
19	66	3244
20	66	3102
21	66	2972
22	67	2854
23	67	2749
24	67	2651
25	68	2559
26	68	2474
27	69	2396
28	69	2322
29	69	2256
30	70	2191
31	70	2130
32	70	2073
33	71	2020
34	71	1970
35	71	1922
36	72	1876
37	72	1834
38	72	1795
39	73	1756
40	73	1718
41	73	1683
42	74	1649
43	74	1618
44	74	1587
45	75	1558
46	75	1529
47	75	1504
48	76	1478
49	76	1454
50	76	1429
51	77	1406
52	77	1383
53	77	1362
54	78	1341
55	78	1321
56	78	1302
57	79	1284
58	79	1266
59	79	1249
60	80	1233
61	80	1217
62	80	1202
63	81	1187
64	81	1172
65	81	1157
66	82	1143
67	82	1127
68	82	1115
69	82	1102
70	83	1089
71	83	1077
72	83	1065
73	84	1054
74	84	1043
75	84	1032
76	85	1021
77	85	1010
78	85	999
79	86	990
80	86	980
81	86	970
82	87	961
83	87	952
84	87	941
85	87	933
86	87	922
87	88	914
88	88	906
89	88	898
90	89	891
91	89	883
92	89	876
93	90	868
94	90	861
95	90	855
96	91	848
97	91	841
98	91	835
99	92	829
100	92	822
101	92	814
102	92	808
103	93	802
104	93	796
105	93	790
106	94	784
107	94	779
108	94	773
109	94	768
110	95	762
111	95	757
112	95	752
113	96	747
114	96	742
115	96	736
116	96	731
117	97	727
118	97	722
119	97	717
120	98	712
121	98	707
122	98	702
123	98	698
124	99	694
125	99	690
126	99	686
127	100	681
128	100	677
129	100	673
130	101	670
131	101	665
132	101	662
133	101	658
134	102	654
135	102	650
136	102	647
137	102	643
138	103	639
139	103	635
140	103	632
141	104	629
142	104	625
143	104	622
144	104	619
145	105	615
146	105	612
147	106	610
148	106	607
149	106	604
150	107	601
151	107	598
